page_id,page_type,chosen_method,adaptive_ratio,adaptive_time,lz4_ratio,lz4_time,zstd_ratio,zstd_time
302,text,zstd,2.5253,1.7e-05,1.8116,8e-06,2.5253,1.4e-05
303,text,zstd,2.8093,1.7e-05,1.9221,8e-06,2.8093,1.5e-05
304,text,zstd,2.4439,1.7e-05,1.7655,8e-06,2.4439,1.5e-05
305,text,zstd,2.552,1.7e-05,1.8278,8e-06,2.552,1.4e-05
306,text,zstd,2.4991,1.6e-05,1.777,8e-06,2.4991,1.5e-05
307,text,zstd,2.8704,1.4e-05,2.1179,6e-06,2.8704,1.2e-05
308,text,zstd,3.2768,1.4e-05,2.2617,5e-06,3.2768,1.2e-05
309,text,zstd,2.1289,1.8e-05,1.4665,8e-06,2.1289,1.7e-05
310,text,zstd,2.5504,1.5e-05,1.8401,7e-06,2.5504,1.3e-05
311,text,zstd,2.8524,1.5e-05,2.076,7e-06,2.8524,1.2e-05
312,text,zstd,2.9854,1.5e-05,2.1986,6e-06,2.9854,1.2e-05
313,text,zstd,3.2768,1.5e-05,2.3911,6e-06,3.2768,1.1e-05
314,text,zstd,2.9341,1.5e-05,2.1581,6e-06,2.9341,1.3e-05
315,text,zstd,2.8248,1.4e-05,2.0593,6e-06,2.8248,1.3e-05
316,text,zstd,2.4586,1.7e-05,1.7595,7e-06,2.4586,1.5e-05
317,text,zstd,2.6056,1.5e-05,1.9025,7e-06,2.6056,1.3e-05
318,text,zstd,3.0341,1.4e-05,2.1729,7e-06,3.0341,1.2e-05
319,text,zstd,3.19,1.4e-05,2.3194,6e-06,3.19,1.2e-05
320,text,zstd,5.1072,1.1e-05,3.6901,5e-06,5.1072,1e-05
321,text,zstd,4.9951,1.1e-05,3.6868,5e-06,4.9951,1e-05
322,text,zstd,5.0882,1.1e-05,3.7135,5e-06,5.0882,9e-06
323,text,zstd,4.28,1.2e-05,3.2328,5e-06,4.28,1e-05
324,text,zstd,2.463,1.7e-05,1.81,7e-06,2.463,1.4e-05
325,text,zstd,2.3925,1.6e-05,1.7349,7e-06,2.3925,1.4e-05
326,text,zstd,3.1196,1.5e-05,2.2617,2e-05,3.1196,1.4e-05
327,text,zstd,2.9468,1.5e-05,2.1615,7e-06,2.9468,1.2e-05
328,text,zstd,3.082,7.6e-05,2.2505,8e-06,3.082,1.4e-05
329,text,zstd,3.3712,1.6e-05,2.3953,7e-06,3.3712,1.4e-05
330,text,zstd,2.8603,1.7e-05,2.046,8e-06,2.8603,1.4e-05
331,text,zstd,2.8209,1.7e-05,2.0439,7e-06,2.8209,1.5e-05
332,text,zstd,3.0363,1.6e-05,2.2189,7e-06,3.0363,1.4e-05
333,text,zstd,3.205,1.4e-05,2.3339,6e-06,3.205,1.2e-05
334,text,zstd,3.0296,1.5e-05,2.1951,7e-06,3.0296,1.3e-05
335,text,zstd,2.9942,1.6e-05,2.1468,7e-06,2.9942,1.3e-05
336,text,zstd,3.0251,1.5e-05,2.1344,7e-06,3.0251,1.3e-05
337,text,zstd,2.9703,1.6e-05,2.149,7e-06,2.9703,1.3e-05
338,text,zstd,2.7713,1.5e-05,2.0317,7e-06,2.7713,1.3e-05
339,text,zstd,3.2611,1.4e-05,2.3649,6e-06,3.2611,1.1e-05
340,text,zstd,3.0797,1.5e-05,2.2395,6e-06,3.0797,1.3e-05
341,text,zstd,2.4425,1.7e-05,1.791,7e-06,2.4425,1.4e-05
342,text,zstd,3.0229,1.4e-05,2.2667,6e-06,3.0229,1.2e-05
343,text,zstd,2.4869,1.6e-05,1.8213,7e-06,2.4869,1.4e-05
344,text,zstd,2.3181,1.7e-05,1.6884,7e-06,2.3181,1.5e-05
345,text,zstd,2.7144,1.5e-05,1.9826,7e-06,2.7144,1.4e-05
